step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
405,CASH_OUT,33050.82,C673543425,0.0,0.0,C886038098,3224091.78,3257142.6,0
351,CASH_OUT,217404.4,C1915650686,0.0,0.0,C323158747,755255.43,972659.84,0
43,CASH_OUT,18240.5,C1939034301,11521.0,0.0,C933194253,19731.49,37971.99,0
298,PAYMENT,11782.08,C1261826808,290466.04,278683.96,M98367540,0.0,0.0,0
398,CASH_IN,210559.86,C235746878,1292117.32,1502677.18,C1070830963,367670.51,157110.64,0
182,CASH_IN,100328.7,C197678862,3389602.37,3489931.07,C386191921,219735.14,119406.44,0
133,CASH_OUT,32760.98,C420699682,1164.0,0.0,C1067965945,0.0,32760.98,0
156,PAYMENT,22568.96,C1504079491,0.0,0.0,M1067973825,0.0,0.0,0
286,CASH_OUT,72683.06,C302344980,0.0,0.0,C497393837,171213.66,243896.72,0
14,CASH_IN,132357.47,C621017144,9004595.0,9136952.47,C1053110213,295556.43,316928.34,0
201,PAYMENT,4085.91,C117336368,355199.56,351113.64,M851937190,0.0,0.0,0
298,PAYMENT,35950.89,C163508840,0.0,0.0,M515938741,0.0,0.0,0
347,PAYMENT,18371.36,C281688978,0.0,0.0,M1905988689,0.0,0.0,0
324,PAYMENT,13047.11,C540725821,0.0,0.0,M437314525,0.0,0.0,0
394,CASH_OUT,51369.82,C737445250,0.0,0.0,C1971161593,115968.04,167337.86,0
133,CASH_IN,273821.48,C484132518,49.0,273870.48,C498230438,0.0,0.0,0
212,CASH_OUT,273929.67,C1478518444,0.0,0.0,C1191843057,472267.76,746197.43,0
280,PAYMENT,9764.28,C148413400,18852.11,9087.83,M1273258827,0.0,0.0,0
259,PAYMENT,7289.32,C1860242544,30602.0,23312.68,M1583170970,0.0,0.0,0
254,CASH_IN,215751.45,C1141236976,1901494.58,2117246.03,C2067259126,1912470.86,1696719.41,0
213,PAYMENT,14403.32,C567254920,15807.79,1404.47,M2126434180,0.0,0.0,0
283,CASH_IN,38220.66,C1832854342,50474.0,88694.66,C2007185484,0.0,0.0,0
164,TRANSFER,1698783.04,C1139311703,0.0,0.0,C1835201690,2402653.62,4101436.66,0
371,CASH_IN,111790.79,C2113434739,497445.0,609235.79,C539475076,1309525.02,1197734.23,0
284,TRANSFER,2854065.43,C627064853,0.0,0.0,C513901132,2935156.63,5789222.06,0
157,CASH_IN,322609.23,C548870511,9337385.63,9659994.86,C1834502565,360897.3,38288.07,0
12,CASH_OUT,122222.51,C1194960549,0.0,0.0,C1654583020,426334.36,849116.71,0
12,CASH_OUT,47190.97,C1688307639,0.0,0.0,C157354477,574326.75,840090.92,0
225,TRANSFER,38704.51,C1920995335,0.0,0.0,C828939979,172310.85,211015.36,0
153,PAYMENT,13692.53,C118634819,0.0,0.0,M1050593261,0.0,0.0,0
158,PAYMENT,4927.52,C276452559,30530.0,25602.48,M1193712002,0.0,0.0,0
252,PAYMENT,7897.46,C709279356,102803.0,94905.54,M282806254,0.0,0.0,0
16,PAYMENT,19527.08,C37025292,20464.0,936.92,M1618634919,0.0,0.0,0
250,PAYMENT,46928.11,C1536453427,273657.0,226728.89,M279647796,0.0,0.0,0
1,CASH_IN,72897.92,C1539088279,6666214.43,6739112.35,C662736689,327169.9,4891090.56,0
308,CASH_OUT,58460.54,C2009857724,5020.0,0.0,C1173127079,0.0,58460.54,0
253,CASH_IN,180499.34,C1052693953,3089396.45,3269895.79,C205379358,902030.28,721530.94,0
181,CASH_OUT,357861.77,C1262156034,0.0,0.0,C1337062880,6184649.91,6542511.68,0
184,PAYMENT,9803.18,C1353232439,626.0,0.0,M1532380518,0.0,0.0,0
335,CASH_OUT,55979.53,C108178168,45897.0,0.0,C1894579123,16601.82,72581.34,0
164,CASH_OUT,2627.74,C70643458,18068.0,15440.26,C178022894,246724.03,249351.77,0
136,PAYMENT,19608.62,C1244176839,0.0,0.0,M85310275,0.0,0.0,0
139,TRANSFER,974316.14,C1612612474,0.0,0.0,C541893318,1458720.35,2433036.49,0
202,PAYMENT,13251.8,C1814778775,0.0,0.0,M1268730462,0.0,0.0,0
278,CASH_IN,61131.84,C1272585998,50411.0,111542.84,C1163063163,226507.57,165375.73,0
401,PAYMENT,4099.05,C660530878,140701.13,136602.09,M1438801116,0.0,0.0,0
45,PAYMENT,100.61,C585555129,29351.43,29250.82,M1331628314,0.0,0.0,0
322,CASH_OUT,17509.82,C1170823520,11239.0,0.0,C269685376,0.0,17509.82,0
182,PAYMENT,16765.74,C698690935,196809.91,180044.17,M531040135,0.0,0.0,0
353,CASH_OUT,240598.7,C1126066790,0.0,0.0,C1591408352,2078765.0,2319363.7,0
16,CASH_IN,1651.78,C141782817,72520.0,74171.78,C1791277999,244442.6,242790.82,0
550,CASH_OUT,136168.97,C726978004,73278.0,0.0,C1969000267,2148166.35,2284335.33,0
394,CASH_OUT,233085.47,C1583482342,0.0,0.0,C590787642,345382.74,578468.21,0
371,PAYMENT,10943.37,C881395590,187254.0,176310.63,M466013960,0.0,0.0,0
139,CASH_OUT,157512.18,C956680888,0.0,0.0,C365553096,606474.83,763987.01,0
256,PAYMENT,2377.34,C1189568815,0.0,0.0,M765455535,0.0,0.0,0
396,CASH_OUT,157154.1,C1995326102,0.0,0.0,C1718973771,495694.43,652848.53,0
279,CASH_OUT,370452.77,C339982898,510768.0,140315.23,C1114739982,0.0,370452.77,0
133,CASH_IN,36349.58,C699361557,150137.0,186486.58,C776966493,75136.34,38786.76,0
164,PAYMENT,15462.34,C1881482093,9047.0,0.0,M426091371,0.0,0.0,0
142,PAYMENT,2227.79,C270966555,31153.63,28925.84,M740609561,0.0,0.0,0
358,CASH_IN,168592.01,C38587134,1387021.86,1555613.87,C499564619,195615.32,27023.31,0
256,CASH_OUT,223817.3,C242245574,7420.0,0.0,C1573676608,261032.95,484850.25,0
257,CASH_OUT,76245.54,C1448068577,0.0,0.0,C11047846,1225609.79,1301855.33,0
402,CASH_OUT,371907.26,C23108770,0.0,0.0,C1570932655,19556518.58,19928425.84,0
131,CASH_IN,125827.58,C1553205064,6680071.64,6805899.22,C2093546827,450166.63,324339.05,0
38,PAYMENT,2264.19,C1458939374,75401.55,73137.36,M142583357,0.0,0.0,0
234,CASH_OUT,59480.22,C1603057445,0.0,0.0,C1601895847,584780.02,644260.24,0
46,TRANSFER,380641.15,C479320813,45610.0,0.0,C2032619353,0.0,380641.15,0
163,CASH_OUT,225113.19,C2074711939,174310.0,0.0,C550426161,50418.06,275531.26,0
208,CASH_OUT,100975.09,C1084542640,0.0,0.0,C2057665263,105310.29,206285.38,0
684,PAYMENT,11373.0,C1635681325,0.0,0.0,M2145432084,0.0,0.0,0
235,PAYMENT,45444.73,C280124152,0.0,0.0,M912792523,0.0,0.0,0
186,CASH_IN,435225.78,C649939729,60556.0,495781.78,C591197261,88524.19,0.0,0
378,PAYMENT,1188.17,C543224876,62054.0,60865.83,M1387871075,0.0,0.0,0
204,CASH_OUT,106730.91,C1038357847,0.0,0.0,C908281111,1512186.98,1618917.89,0
138,PAYMENT,8639.05,C373615757,99352.0,90712.95,M1137766890,0.0,0.0,0
22,CASH_IN,264483.12,C706038194,2290253.29,2554736.41,C1174044224,3039527.0,2775043.89,0
324,CASH_OUT,450332.23,C688753923,3049.0,0.0,C397546843,951625.32,1401957.54,0
307,PAYMENT,20405.33,C36931870,25870.0,5464.67,M2061387841,0.0,0.0,0
424,CASH_OUT,313697.44,C624146963,313697.44,0.0,C2012667225,0.0,313697.44,1
306,CASH_IN,15541.99,C1915098983,5129114.52,5144656.51,C1008398877,31630.0,0.0,0
10,DEBIT,2864.74,C2128558427,1607018.86,1604154.12,C1480045282,30875.0,33739.74,0
154,TRANSFER,442722.01,C1197049962,442722.01,0.0,C1656842502,0.0,0.0,1
41,CASH_IN,104804.88,C535545843,3054783.72,3159588.6,C2050588431,1981265.68,1876460.8,0
307,CASH_IN,78700.77,C981234207,36131.0,114831.77,C1927506330,266206.82,187506.05,0
231,CASH_OUT,258368.79,C1929889009,0.0,0.0,C757116205,499581.86,1010648.91,0
207,CASH_OUT,434747.96,C737368320,32076.44,0.0,C1721483056,715511.52,1150259.49,0
208,CASH_OUT,267090.66,C1944822960,45729.0,0.0,C1846257619,25881.25,292971.91,0
327,CASH_IN,84037.19,C968672533,513976.63,598013.82,C112080056,90123.14,6085.95,0
402,CASH_OUT,253669.5,C1680900540,223.0,0.0,C12743027,441762.38,695431.88,0
355,PAYMENT,13549.03,C1257234401,0.0,0.0,M1145352562,0.0,0.0,0
372,CASH_IN,34431.93,C1346026329,19896.0,54327.93,C637756386,1609817.35,1575385.42,0
13,TRANSFER,1151695.66,C1401517579,0.0,0.0,C1529634023,2264802.77,3416498.43,0
164,PAYMENT,29576.32,C1666253657,100613.0,71036.68,M1062572630,0.0,0.0,0
307,PAYMENT,789.07,C1829538634,5720.0,4930.93,M894302917,0.0,0.0,0
132,CASH_OUT,360335.05,C1285176751,316393.0,0.0,C1143338805,127027.78,730169.07,0
185,PAYMENT,2745.93,C2106352248,0.0,0.0,M1048495652,0.0,0.0,0
163,CASH_OUT,292921.85,C1039302596,24833.0,0.0,C426830739,832344.01,1125265.86,0
33,CASH_OUT,333143.42,C981446162,0.0,0.0,C1862244823,743135.1,1340770.23,0
335,CASH_IN,226024.88,C329061666,202090.67,428115.55,C1024516262,1390425.93,1164401.05,0
39,CASH_OUT,279208.71,C617598809,0.0,0.0,C1801880221,618415.83,897624.54,0
14,CASH_OUT,165607.28,C715231921,121262.0,0.0,C420730133,130275.0,370236.48,0
379,CASH_OUT,97337.68,C852877979,24042.0,0.0,C1797304874,129697.95,227035.63,0
183,CASH_OUT,155193.83,C464432257,85911.04,0.0,C248018950,1326910.46,1482104.29,0
330,PAYMENT,2856.12,C795395591,103221.0,100364.88,M686075018,0.0,0.0,0
142,PAYMENT,10117.98,C2002052249,21362.0,11244.02,M1386259935,0.0,0.0,0
281,PAYMENT,11847.07,C489729716,127795.0,115947.93,M476089036,0.0,0.0,0
161,CASH_OUT,264154.09,C694070205,9009.0,0.0,C1545535345,1882506.58,2146660.66,0
159,CASH_OUT,160701.97,C1165506166,0.0,0.0,C110085762,223342.58,384044.54,0
34,CASH_OUT,466255.99,C323992948,0.0,0.0,C2062722573,920467.77,1386723.75,0
259,CASH_IN,387764.0,C1017617065,7653297.14,8041061.14,C720897614,761863.76,374099.76,0
349,CASH_OUT,56739.75,C872752133,4798.0,0.0,C1583971114,0.0,56739.75,0
250,CASH_IN,235367.49,C1695775524,5986899.14,6222266.63,C2022053326,1634606.36,1399238.86,0
372,DEBIT,3639.11,C703491185,0.0,0.0,C508064833,441571.81,445210.92,0
162,CASH_OUT,98586.86,C1836041390,0.0,0.0,C398504877,4047267.82,4145854.68,0
10,PAYMENT,807.24,C70176143,0.0,0.0,M5363149,0.0,0.0,0
15,PAYMENT,6271.53,C971423087,29127.0,22855.47,M1955206622,0.0,0.0,0
376,PAYMENT,20947.08,C1764915000,36108.0,15160.92,M1382026827,0.0,0.0,0
371,PAYMENT,37320.46,C1876090500,103939.0,66618.54,M1846098975,0.0,0.0,0
202,CASH_OUT,216082.37,C1289595284,80657.0,0.0,C780025355,76089.48,292171.85,0
191,CASH_IN,205558.68,C414941955,83004.0,288562.68,C1918985342,230826.22,25267.55,0
307,PAYMENT,6908.5,C1070414170,0.0,0.0,M1822989769,0.0,0.0,0
705,CASH_IN,239803.3,C1804247839,4249267.7,4489071.0,C1180426754,2701108.08,2461304.79,0
9,CASH_OUT,240917.22,C759600800,0.0,0.0,C164068556,10362324.51,11242113.08,0
202,TRANSFER,3552.27,C1647472465,0.0,0.0,C1746337882,1902454.37,1906006.64,0
164,CASH_IN,228572.15,C2087139284,13592484.13,13821056.28,C1319744431,2615580.34,2387008.19,0
407,CASH_IN,16541.35,C115269867,156910.82,173452.17,C2096146651,1364558.59,1348017.24,0
140,CASH_IN,32403.1,C1532293398,17556826.83,17589229.92,C229044826,3358425.71,3326022.61,0
548,PAYMENT,2966.99,C1445869017,123998.0,121031.01,M214699083,0.0,0.0,0
250,CASH_OUT,127552.9,C1290161463,0.0,0.0,C610018122,697090.07,824642.97,0
156,CASH_OUT,229417.2,C691841807,100810.0,0.0,C1482021020,0.0,327229.62,0
394,PAYMENT,1210.55,C1877063765,10397.36,9186.81,M862357832,0.0,0.0,0
378,CASH_OUT,70737.46,C1865577281,247315.0,176577.54,C198851155,363977.55,434715.01,0
281,PAYMENT,6412.85,C57290373,2018.0,0.0,M103186325,0.0,0.0,0
335,PAYMENT,3884.75,C2048132302,8891.0,5006.25,M1744460721,0.0,0.0,0
286,PAYMENT,61131.16,C626717296,5534.4,0.0,M1201663050,0.0,0.0,0
407,TRANSFER,522934.38,C2099078141,0.0,0.0,C1032830963,1455874.37,1978808.75,0
276,PAYMENT,8962.89,C1010340062,33191.2,24228.31,M121122358,0.0,0.0,0
348,CASH_OUT,168383.73,C411654997,16899.63,0.0,C2087633571,3282008.1,3450391.82,0
399,CASH_IN,82836.34,C1044568987,6604262.72,6687099.06,C609878696,185485.53,102649.19,0
594,CASH_OUT,226048.91,C1634579858,104886.0,0.0,C363702734,490909.45,716958.36,0
19,CASH_OUT,78968.85,C1597470284,0.0,0.0,C819102712,245772.5,209841.08,0
187,CASH_OUT,46184.61,C1346572592,0.0,0.0,C103475762,90412.59,136597.2,0
354,CASH_OUT,58887.35,C858531005,0.0,0.0,C1966986369,801674.93,860562.28,0
132,TRANSFER,1235316.51,C69894844,10329.0,0.0,C189525699,1455381.97,2690698.48,0
402,TRANSFER,775521.69,C456118604,221.0,0.0,C780186551,10579396.0,11374443.98,0
429,CASH_IN,156588.06,C313784822,5475889.54,5632477.6,C1251057464,8168992.38,8012404.32,0
328,CASH_IN,289069.48,C1498866747,30734.0,319803.48,C274865432,231896.75,0.0,0
9,CASH_IN,175289.13,C1968338440,2174240.97,2349530.11,C830831744,3746101.65,3631796.55,0
212,CASH_OUT,18537.27,C1398394119,0.0,0.0,C103059309,72714.62,91251.89,0
37,PAYMENT,1868.41,C1588380157,0.0,0.0,M1564366244,0.0,0.0,0
164,CASH_IN,42289.28,C1780118402,102844.0,145133.28,C1438445181,39520.25,0.0,0
279,PAYMENT,6705.06,C522740451,0.0,0.0,M1330710848,0.0,0.0,0
226,CASH_OUT,342116.72,C1286696027,265.0,0.0,C1543804593,50051.53,392168.25,0
255,TRANSFER,70232.56,C6962542,46833.0,0.0,C154271451,84295.32,154527.89,0
500,CASH_IN,302026.71,C507876673,44473.0,346499.71,C1807654190,0.0,0.0,0
284,CASH_IN,39750.2,C2078076390,20176576.26,20216326.46,C895616072,661153.98,621403.78,0
383,CASH_IN,198735.85,C2105940598,2141020.43,2339756.28,C1370595778,1145363.96,946628.11,0
212,CASH_OUT,141391.87,C903714266,285691.0,144299.13,C693669582,1332885.98,1474277.85,0
41,TRANSFER,104254.64,C1822927054,0.0,0.0,C1560294361,1001979.58,1106234.22,0
256,PAYMENT,10045.49,C284826080,44157.0,34111.51,M130196613,0.0,0.0,0
47,CASH_OUT,346217.69,C2147461484,29767.0,0.0,C1019511602,59105.08,405322.77,0
20,CASH_OUT,85307.65,C314995811,0.0,0.0,C1519273880,677190.83,810063.89,0
160,PAYMENT,6904.69,C2124498881,47123.0,40218.31,M616196771,0.0,0.0,0
162,CASH_OUT,263158.65,C844286463,0.0,0.0,C1942195367,1391364.03,1654522.68,0
406,PAYMENT,16376.17,C268878214,3959.0,0.0,M1253402376,0.0,0.0,0
329,CASH_OUT,141496.01,C993360512,0.0,0.0,C2010058418,1536186.43,1677682.45,0
158,CASH_IN,289686.69,C447689264,12017897.71,12307584.4,C1119996154,5507407.52,5217720.83,0
136,CASH_IN,371719.21,C387606003,24831416.97,25203136.18,C1821926868,446642.33,74923.12,0
238,PAYMENT,1470.68,C811814478,860600.0,859129.32,M985004059,0.0,0.0,0
20,CASH_OUT,10693.2,C537799306,0.0,0.0,C2118383671,103126.31,113819.51,0
159,CASH_OUT,6212.37,C2065136898,0.0,0.0,C1293532684,91717.55,97929.92,0
403,CASH_OUT,173259.32,C1938358645,0.0,0.0,C808596935,1718894.4,1892153.72,0
133,PAYMENT,3635.99,C380928653,90946.13,87310.14,M1784002332,0.0,0.0,0
371,CASH_OUT,340312.87,C1856839717,218337.0,0.0,C668554669,0.0,340312.87,0
158,CASH_OUT,215642.98,C697626844,50167.0,0.0,C1515327126,128117.02,343760.0,0
298,PAYMENT,2782.96,C1539702144,33811.23,31028.28,M709795020,0.0,0.0,0
302,CASH_OUT,99602.75,C686464630,0.0,0.0,C14574483,861898.94,961501.7,0
231,PAYMENT,2431.11,C1857956695,0.0,0.0,M178649455,0.0,0.0,0
306,CASH_OUT,114031.39,C209847112,0.0,0.0,C57693215,1606782.73,1720814.11,0
159,CASH_IN,214602.94,C1523706296,19485.0,234087.94,C2001148387,1307109.39,1025170.27,0
41,CASH_IN,170519.66,C1352261680,9680221.87,9850741.53,C1601406190,1577720.92,1407201.26,0
38,PAYMENT,14494.94,C1944293965,25703.0,11208.06,M1337886520,0.0,0.0,0
299,CASH_OUT,208904.13,C1287277715,0.0,0.0,C859188304,311249.06,520153.19,0
43,PAYMENT,10868.54,C1315914092,283.0,0.0,M849701447,0.0,0.0,0
371,PAYMENT,16192.69,C903250563,102074.18,85881.49,M1865461513,0.0,0.0,0
33,CASH_OUT,56387.5,C975298713,528.0,0.0,C893801689,0.0,56387.5,0
34,TRANSFER,922918.39,C1036514055,19654.0,0.0,C817956120,65574.0,874355.0,0
332,PAYMENT,36378.8,C151599247,0.0,0.0,M1869904958,0.0,0.0,0
201,CASH_IN,216652.78,C534523604,962809.3,1179462.08,C1456259574,1267745.1,1051092.33,0
38,CASH_IN,54742.0,C2095799311,12045100.83,12099842.84,C403130913,5112517.09,5057775.08,0
36,CASH_OUT,278982.54,C363291984,39466.0,0.0,C753959109,0.0,278982.54,0
400,PAYMENT,55132.77,C284368814,0.0,0.0,M316111848,0.0,0.0,0
16,TRANSFER,358813.48,C335909370,0.0,0.0,C1546125572,481807.65,993197.9,0
423,PAYMENT,9235.56,C614260084,0.0,0.0,M1969580095,0.0,0.0,0
36,CASH_IN,23442.93,C181901147,1794079.63,1817522.56,C1564931235,2245404.34,2221961.41,0
35,TRANSFER,1942830.36,C1965538631,20868.0,0.0,C541874793,738335.46,3145959.95,0
283,CASH_IN,262119.33,C1770829403,6176189.39,6438308.72,C1652158314,3873364.24,3611244.91,0
180,TRANSFER,288112.2,C140273936,45246.0,0.0,C448787967,1448151.72,1736263.93,0
40,CASH_OUT,257011.94,C465572633,20693.0,0.0,C1820852843,6114313.6,6371325.54,0
324,CASH_OUT,264402.85,C41761588,524.0,0.0,C275053310,553235.0,817637.85,0
401,CASH_IN,110335.07,C664183883,9687406.41,9797741.48,C1465878961,141383.44,31048.37,0
16,CASH_OUT,264229.4,C657317065,48909.02,0.0,C1052772714,923893.58,1188122.98,0
15,CASH_OUT,301033.6,C736231709,0.0,0.0,C2009255267,382603.03,831796.68,0
395,CASH_OUT,55017.81,C952180997,0.0,0.0,C1620797862,1617752.45,1672770.26,0
44,CASH_IN,37485.07,C958596484,20493.0,57978.07,C97718633,1449291.29,1277446.65,0
164,CASH_OUT,263951.75,C953687767,0.0,0.0,C2063115099,829972.18,1093923.92,0
179,TRANSFER,16618.59,C81697747,0.0,0.0,C1859292632,208783.14,225401.73,0
131,PAYMENT,9454.08,C794671942,45340.0,35885.92,M830828872,0.0,0.0,0
345,CASH_IN,210378.93,C841053584,689713.22,900092.15,C519462046,1612541.53,1402162.59,0
209,PAYMENT,11245.01,C1783763802,26994.0,15748.99,M1713870289,0.0,0.0,0
236,CASH_IN,190208.06,C2099101368,4070888.99,4261097.05,C96764641,4027996.13,3837788.07,0
43,CASH_OUT,71361.27,C1006355060,0.0,0.0,C1663144143,428720.13,500081.4,0
522,CASH_OUT,16540.53,C1986862627,37030.0,20489.47,C1653073532,131686.97,148227.5,0
514,CASH_OUT,31125.35,C543199393,31646.21,520.86,C1306938183,371034.08,402159.43,0
211,CASH_OUT,312986.71,C804277110,16268.0,0.0,C668204543,716545.0,880976.56,0
304,CASH_IN,387860.85,C169478663,11096.0,398956.85,C1273177230,0.0,0.0,0
402,CASH_IN,147337.36,C1846761976,1378.0,148715.36,C851133024,91442.02,0.0,0
403,CASH_OUT,363339.1,C415257949,0.0,0.0,C1713722589,967937.81,1331276.91,0
252,PAYMENT,46374.75,C1135026344,0.0,0.0,M114482200,0.0,0.0,0
18,PAYMENT,1085.94,C207150824,0.0,0.0,M406727438,0.0,0.0,0
13,CASH_IN,213428.37,C1503295990,680300.74,893729.11,C488624810,4858689.8,4644792.27,0
259,CASH_OUT,426297.08,C1761798010,0.0,0.0,C1166065760,563633.85,989930.93,0
261,PAYMENT,36417.97,C304649849,0.0,0.0,M828698290,0.0,0.0,0
249,PAYMENT,1804.69,C1428909771,152203.0,150398.31,M1310025611,0.0,0.0,0
397,CASH_OUT,178497.93,C1811898134,0.0,0.0,C2146780008,1389715.49,1568213.43,0
332,CASH_IN,287458.08,C1507792514,432351.93,719810.01,C1853152930,1435202.08,1147744.0,0
203,PAYMENT,11563.08,C284247357,392.0,0.0,M931461602,0.0,0.0,0
329,CASH_OUT,288120.29,C1653776347,5120.0,0.0,C775083740,0.0,288120.29,0
300,CASH_OUT,27359.33,C1855682092,0.0,0.0,C1713650209,205574.55,232933.88,0
144,PAYMENT,12640.68,C1510081462,27850.0,15209.32,M425436326,0.0,0.0,0
187,PAYMENT,3762.46,C1769670917,0.0,0.0,M1980957991,0.0,0.0,0
43,CASH_OUT,193619.4,C695404375,0.0,0.0,C91770137,1672500.24,1866119.64,0
351,TRANSFER,1955828.18,C364021041,0.0,0.0,C293665826,2608461.94,4564290.12,0
14,PAYMENT,11176.59,C348917439,3505.0,0.0,M1359074475,0.0,0.0,0
179,TRANSFER,101569.1,C325617046,83564.0,0.0,C1017158039,0.0,101569.1,0
329,CASH_IN,144474.16,C1540780748,20776456.94,20920931.1,C1543937178,272339.36,127865.2,0
239,TRANSFER,206219.87,C776895429,0.0,0.0,C40408910,401109.6,607329.47,0
353,CASH_OUT,8538.66,C540483729,0.0,0.0,C1382003733,1094502.1,1103040.76,0
